# Performance Monitoring Events for the Fifth Generation Intel Core Processors Based on the Broadwell Microarchitecture - V23
# 8/7/2018 8:47:47 AM
# Copyright (c) 2007 - 2017 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	CounterHTOff	SampleAfterValue	MSRIndex	MSRValue	TakenAlone	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Data_LA	L1_Hit_Indication	Errata
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.ANY_RESPONSE	Counts demand data reads have any response type. 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0000010001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.SUPPLIER_NONE.SNOOP_NONE	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0080020001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.SUPPLIER_NONE.SNOOP_NOT_NEEDED	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0100020001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.SUPPLIER_NONE.SNOOP_MISS	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0200020001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.SUPPLIER_NONE.SNOOP_HIT_NO_FWD	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0400020001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.SUPPLIER_NONE.SNOOP_HITM	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x1000020001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.SUPPLIER_NONE.SNOOP_NON_DRAM	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x2000020001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.SUPPLIER_NONE.ANY_SNOOP	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x3F80020001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.SNOOP_NONE	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x00803C0001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.SNOOP_NOT_NEEDED	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x01003C0001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.SNOOP_MISS	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x02003C0001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_NO_FWD	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x04003C0001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x10003C0001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.SNOOP_NON_DRAM	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x20003C0001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_HIT.ANY_SNOOP	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x3F803C0001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS_LOCAL_DRAM.SNOOP_NONE	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0084000001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS_LOCAL_DRAM.SNOOP_NOT_NEEDED	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0104000001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS_LOCAL_DRAM.SNOOP_MISS	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0204000001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS_LOCAL_DRAM.SNOOP_HIT_NO_FWD	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0404000001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS_LOCAL_DRAM.SNOOP_HITM	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x1004000001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS_LOCAL_DRAM.SNOOP_NON_DRAM	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x2004000001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS_LOCAL_DRAM.ANY_SNOOP	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x3F84000001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.SNOOP_NONE	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x00BC000001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.SNOOP_NOT_NEEDED	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x013C000001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.SNOOP_MISS	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x023C000001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.SNOOP_HIT_NO_FWD	Counts demand data reads 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x043C000001	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_RFO.ANY_RESPONSE	Counts all demand data writes (RFOs) have any response type. 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0000010002	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_RFO.L3_HIT.SNOOP_NONE	Counts all demand data writes (RFOs) 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x00803C0002	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_RFO.L3_HIT.SNOOP_NOT_NEEDED	Counts all demand data writes (RFOs) 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x01003C0002	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_RFO.L3_HIT.SNOOP_MISS	Counts all demand data writes (RFOs) 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x02003C0002	0	0	0	0	0	0	0	0	null
