# Performance Monitoring Events for Performance Monitoring Events for Intel Xeon Processors Based on the Cascadelake Microarchitecture with Intel Optane DC persistent memory - V1.04
# 4/1/2019 11:14:48 AM
# Copyright (c) 2007 - 2017 Intel Corporation. All rights reserved.
Unit	EventCode	UMask	PortMask	FCMask	UMaskExt	EventName	Description	Counter	MSRValue	ELLC	Filter	Internal	Deprecated	FILTER_VALUE
CHA	0x00	0x00	0x00	0x00	0x00	UNC_C_CLOCKTICKS	This event is deprecated. Refer to new event UNC_CHA_CLOCKTICKS	0,1,2,3	0x00	0	na	0	1	0
CHA	0x33	0x42	0x00	0x00	0x00	UNC_H_CORE_SNP.CORE_GTONE	This event is deprecated. Refer to new event UNC_CHA_CORE_SNP.CORE_GTONE	0,1,2,3	0x00	0	na	0	1	0
CHA	0x33	0x82	0x00	0x00	0x00	UNC_H_CORE_SNP.EVICT_GTONE	This event is deprecated. Refer to new event UNC_CHA_CORE_SNP.EVICT_GTONE	0,1,2,3	0x00	0	na	0	1	0
CHA	0x53	0x1	0x00	0x00	0x00	UNC_H_DIR_LOOKUP.SNP	This event is deprecated. Refer to new event UNC_CHA_DIR_LOOKUP.SNP	0,1,2,3	0x00	0	na	0	1	0
CHA	0x53	0x2	0x00	0x00	0x00	UNC_H_DIR_LOOKUP.NO_SNP	This event is deprecated. Refer to new event UNC_CHA_DIR_LOOKUP.NO_SNP	0,1,2,3	0x00	0	na	0	1	0
CHA	0x54	0x1	0x00	0x00	0x00	UNC_H_DIR_UPDATE.HA	This event is deprecated. Refer to new event UNC_CHA_DIR_UPDATE.HA	0,1,2,3	0x00	0	na	0	1	0
CHA	0x54	0x2	0x00	0x00	0x00	UNC_H_DIR_UPDATE.TOR	This event is deprecated. Refer to new event UNC_CHA_DIR_UPDATE.TOR	0,1,2,3	0x00	0	na	0	1	0
CHA	0x5F	0x1	0x00	0x00	0x00	UNC_H_HITME_HIT.EX_RDS	This event is deprecated. Refer to new event UNC_CHA_HITME_HIT.EX_RDS	0,1,2,3	0x00	0	na	0	1	0
CHA	0x34	0x3	0x00	0x00	0x00	UNC_C_LLC_LOOKUP.DATA_READ	This event is deprecated. Refer to new event UNC_CHA_LLC_LOOKUP.DATA_READ	0,1,2,3	0x00	0	CHAFilter0[26:17]	0	1	0
CHA	0x34	0x9	0x00	0x00	0x00	UNC_C_LLC_LOOKUP.REMOTE_SNOOP	This event is deprecated. Refer to new event UNC_CHA_LLC_LOOKUP.REMOTE_SNOOP	0,1,2,3	0x00	0	CHAFilter0[26:17]	0	1	0
