# Performance Monitoring Events for Performance Monitoring Events for Intel Xeon Processors Based on the Cascadelake Microarchitecture with Intel Optane DC persistent memory - V1.04
# 4/1/2019 11:14:48 AM
Unit	EventCode	UMask	PortMask	FCMask	UMaskExt	EventName	Description	Counter	MSRValue	ELLC	Filter	Internal	Deprecated	FILTER_VALUE
CHA	0x57	0x1	0x00	0x00	0x00	UNC_H_BYPASS_CHA_IMC.TAKEN	This event is deprecated. Refer to new event UNC_CHA_BYPASS_CHA_IMC.TAKEN	0,1,2,3	0x00	0	na	0	1	0
CHA	0x57	0x2	0x00	0x00	0x00	UNC_H_BYPASS_CHA_IMC.INTERMEDIATE	This event is deprecated. Refer to new event UNC_CHA_BYPASS_CHA_IMC.INTERMEDIATE	0,1,2,3	0x00	0	na	0	1	0
CHA	0x57	0x4	0x00	0x00	0x00	UNC_H_BYPASS_CHA_IMC.NOT_TAKEN	This event is deprecated. Refer to new event UNC_CHA_BYPASS_CHA_IMC.NOT_TAKEN	0,1,2,3	0x00	0	na	0	1	0
CHA	0x33	0x21	0x00	0x00	0x00	UNC_H_CORE_SNP.EXT_ONE	This event is deprecated. Refer to new event UNC_CHA_CORE_SNP.EXT_ONE	0,1,2,3	0x00	0	na	0	1	0
CHA	0x33	0x41	0x00	0x00	0x00	UNC_H_CORE_SNP.CORE_ONE	This event is deprecated. Refer to new event UNC_CHA_CORE_SNP.CORE_ONE	0,1,2,3	0x00	0	na	0	1	0
CHA	0x33	0x81	0x00	0x00	0x00	UNC_H_CORE_SNP.EVICT_ONE	This event is deprecated. Refer to new event UNC_CHA_CORE_SNP.EVICT_ONE	0,1,2,3	0x00	0	na	0	1	0
CHA	0x33	0xE1	0x00	0x00	0x00	UNC_H_CORE_SNP.ANY_ONE	This event is deprecated. Refer to new event UNC_CHA_CORE_SNP.ANY_ONE	0,1,2,3	0x00	0	na	0	1	0
CHA	0x33	0x22	0x00	0x00	0x00	UNC_H_CORE_SNP.EXT_GTONE	This event is deprecated. Refer to new event UNC_CHA_CORE_SNP.EXT_GTONE	0,1,2,3	0x00	0	na	0	1	0
CHA	0x33	0xE2	0x00	0x00	0x00	UNC_H_CORE_SNP.ANY_GTONE	This event is deprecated. Refer to new event UNC_CHA_CORE_SNP.ANY_GTONE	0,1,2,3	0x00	0	na	0	1	0
CHA	0x33	0x24	0x00	0x00	0x00	UNC_H_CORE_SNP.EXT_REMOTE	This event is deprecated. Refer to new event UNC_CHA_CORE_SNP.EXT_REMOTE	0,1,2,3	0x00	0	na	0	1	0
CHA	0x33	0x44	0x00	0x00	0x00	UNC_H_CORE_SNP.CORE_REMOTE	This event is deprecated. Refer to new event UNC_CHA_CORE_SNP.CORE_REMOTE	0,1,2,3	0x00	0	na	0	1	0
CHA	0x33	0x84	0x00	0x00	0x00	UNC_H_CORE_SNP.EVICT_REMOTE	This event is deprecated. Refer to new event UNC_CHA_CORE_SNP.EVICT_REMOTE	0,1,2,3	0x00	0	na	0	1	0
CHA	0x33	0xE4	0x00	0x00	0x00	UNC_H_CORE_SNP.ANY_REMOTE	This event is deprecated. Refer to new event UNC_CHA_CORE_SNP.ANY_REMOTE	0,1,2,3	0x00	0	na	0	1	0
CHA	0x1F	0x0	0x00	0x00	0x00	UNC_H_COUNTER0_OCCUPANCY	This event is deprecated. Refer to new event UNC_CHA_COUNTER0_OCCUPANCY	0,1,2,3	0x00	0	na	0	1	0
CHA	0x5F	0x4	0x00	0x00	0x00	UNC_H_HITME_HIT.SHARED_OWNREQ	This event is deprecated. Refer to new event UNC_CHA_HITME_HIT.SHARED_OWNREQ	0,1,2,3	0x00	0	na	0	1	0
CHA	0x5F	0x8	0x00	0x00	0x00	UNC_H_HITME_HIT.WBMTOE	This event is deprecated. Refer to new event UNC_CHA_HITME_HIT.WBMTOE	0,1,2,3	0x00	0	na	0	1	0
CHA	0x5F	0x10	0x00	0x00	0x00	UNC_H_HITME_HIT.WBMTOI_OR_S	This event is deprecated. Refer to new event UNC_CHA_HITME_HIT.WBMTOI_OR_S	0,1,2,3	0x00	0	na	0	1	0
CHA	0x5E	0x1	0x00	0x00	0x00	UNC_H_HITME_LOOKUP.READ	This event is deprecated. Refer to new event UNC_CHA_HITME_LOOKUP.READ	0,1,2,3	0x00	0	na	0	1	0
CHA	0x5E	0x2	0x00	0x00	0x00	UNC_H_HITME_LOOKUP.WRITE	This event is deprecated. Refer to new event UNC_CHA_HITME_LOOKUP.WRITE	0,1,2,3	0x00	0	na	0	1	0
CHA	0x60	0x20	0x00	0x00	0x00	UNC_H_HITME_MISS.SHARED_RDINVOWN	This event is deprecated. Refer to new event UNC_CHA_HITME_MISS.SHARED_RDINVOWN	0,1,2,3	0x00	0	na	0	1	0
CHA	0x60	0x40	0x00	0x00	0x00	UNC_H_HITME_MISS.NOTSHARED_RDINVOWN	This event is deprecated. Refer to new event UNC_CHA_HITME_MISS.NOTSHARED_RDINVOWN	0,1,2,3	0x00	0	na	0	1	0
