# Performance Monitoring Events for the Fourth Generation Intel Core Processors Based on the Haswell Microarchitecture - V28
# 8/7/2018 1:02:46 AM
# Copyright (c) 2007 - 2017 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	CounterHTOff	SampleAfterValue	MSRIndex	MSRValue	TakenAlone	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Data_LA	L1_Hit_Indication	Errata
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_REQUESTS.L3_MISS.ANY_RESPONSE	Counts all requests miss in the L3 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x3FFFC08FFF	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_REQUESTS.L3_HIT.ANY_RESPONSE	Counts all requests hit in the L3 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x3F803C8FFF	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_READS.L3_MISS.LOCAL_DRAM	miss the L3 and the data is returned from local dram 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x01004007F7	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_READS.L3_MISS.ANY_RESPONSE	miss in the L3 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x3FFFC007F7	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_READS.L3_HIT.HITM_OTHER_CORE	hit in the L3 and the snoop to one of the sibling cores hits the line in M state and the line is forwarded 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x10003C07F7	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_READS.L3_HIT.HIT_OTHER_CORE_NO_FWD	hit in the L3 and the snoops to sibling cores hit in either E/S state and the line is not forwarded 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x04003C07F7	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_CODE_RD.L3_MISS.LOCAL_DRAM	Counts all demand & prefetch code reads miss the L3 and the data is returned from local dram 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0100400244	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_CODE_RD.L3_MISS.ANY_RESPONSE	Counts all demand & prefetch code reads miss in the L3 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x3FFFC00244	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_CODE_RD.L3_HIT.HIT_OTHER_CORE_NO_FWD	Counts all demand & prefetch code reads hit in the L3 and the snoops to sibling cores hit in either E/S state and the line is not forwarded 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x04003C0244	0	0	0	0	0	0	0	0	null
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.ALL_RFO.L3_MISS.LOCAL_DRAM	Counts all demand & prefetch RFOs miss the L3 and the data is returned from local dram 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0100400122	0	0	0	0	0	0	0	0	null
