# Performance Monitoring Events for Intel(R) Xeon(R) processor E5 family and Intel(R) Xeon(R) processor E7 family Based on the Ivy Bridge-EP Microarchitecture - V20
# 1/17/2018 5:48:43 PM
# Copyright (c) 2007 - 2017 Intel Corporation. All rights reserved.
BitName	BitIndex	Type	Description	MATRIX_REG	BitsNotCombinedWith	Errata
DEMAND_DATA_RD	0	1	Counts demand data reads	0,1		null
DEMAND_RFO	1	1	Counts all demand data writes (RFOs)	0,1		null
DEMAND_CODE_RD	2	1	Counts all demand code reads	0,1		null
COREWB	3	1	Counts core writebacks due to L2 evictions or L1 writeback requests	0,1		null
PF_L2_DATA_RD	4	1	Counts prefetch (that bring data to L2) data reads	0,1		null
PF_L2_RFO	5	1	Counts all prefetch (that bring data to L2) RFOs	0,1		null
PF_L2_CODE_RD	6	1	Counts all prefetch (that bring data to LLC only) code reads	0,1		null
PF_LLC_DATA_RD	7	1	Counts all prefetch (that bring data to LLC only) data reads	0,1		null
PF_LLC_RFO	8	1	Counts all prefetch (that bring data to LLC only) RFOs	0,1		null
PF_LLC_CODE_RD	9	1	Counts prefetch (that bring data to LLC only) code reads	0,1		null
OTHER	15	1	Counts any other requests	0,1		null
ALL_PF_DATA_RD	4,7	1	Counts all prefetch data reads	0,1		null
ALL_PF_RFO	5,8	1	Counts prefetch RFOs	0,1		null
ALL_PF_CODE_RD	6,9	1	Counts all prefetch code reads	0,1		null
ALL_DATA_RD	0,4,7	1	Counts all demand & prefetch data reads	0,1		null
ALL_RFO	1,5,8	1	Counts all demand & prefetch RFOs	0,1		null
ALL_CODE_RD	2,6,9	1	Counts all demand & prefetch code reads	0,1		null
ALL_READS	0,1,2,4,5,6,7,8,9	1	Counts all data/code/rfo reads (demand & prefetch)	0,1		null
ALL_REQUESTS	0,1,2,3,4,5,6,7,8,9,10,11,15	1	Counts all requests	0,1		null
ANY_RESPONSE	16	2	have any response type.	0,1		null
SUPPLIER_NONE	17	3		0,1		null
LLC_HIT_M	18	3		0,1		null
LLC_HIT_E	19	3		0,1		null
LLC_HIT_S	20	3		0,1		null
LLC_HIT_F	21	3		0,1		null
LLC_HIT	18,19,20,21	3		0,1		null
L3_MISS_LOCAL_DRAM	22	3		0,1		null
L3_MISS_REMOTE_DRAM	22,23,24,25,26,27,28,29	3		0,1		null
SNOOP_NONE	31	4		0,1		null
SNOOP_NOT_NEEDED	32	4		0,1		null
SNOOP_MISS	33	4		0,1		null
SNOOP_HIT_NO_FWD	34	4		0,1		null
SNOOP_HIT_WITH_FWD	35	4		0,1	18,19,20,21	null
SNOOP_HITM	36	4		0,1		null
SNOOP_NON_DRAM	37	4		0,1		null
ANY_SNOOP	31,32,33,34,35,36,37	4		0,1		null
