# Performance Monitoring Events for the Sixth Generation Intel Core Processors Based on the Skylake Microarchitecture - V42
# 8/6/2018 3:30:52 PM
# Copyright (c) 2007 - 2017 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	CounterHTOff	SampleAfterValue	MSRIndex	MSRValue	TakenAlone	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Data_LA	L1_Hit_Indication	Errata	Deprecated
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_MISS.ANY_SNOOP	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x3FFC408000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_MISS.SNOOP_NON_DRAM	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x203C408000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_MISS.SNOOP_HITM	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x103C408000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_MISS.SNOOP_HIT_NO_FWD	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x043C408000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_MISS.SNOOP_MISS	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x023C408000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_MISS.SNOOP_NOT_NEEDED	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x013C408000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_MISS.SNOOP_NONE	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x00BC408000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_MISS.SPL_HIT	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x007C408000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_MISS_LOCAL_DRAM.ANY_SNOOP	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x3FC4008000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_MISS_LOCAL_DRAM.SNOOP_NON_DRAM	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x2004008000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_MISS_LOCAL_DRAM.SNOOP_HITM	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x1004008000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_MISS_LOCAL_DRAM.SNOOP_HIT_NO_FWD	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0404008000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_MISS_LOCAL_DRAM.SNOOP_MISS	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0204008000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_MISS_LOCAL_DRAM.SNOOP_NOT_NEEDED	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0104008000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_MISS_LOCAL_DRAM.SNOOP_NONE	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0084008000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_MISS_LOCAL_DRAM.SPL_HIT	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0044008000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L4_HIT_LOCAL_L4.ANY_SNOOP	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x3FC0408000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L4_HIT_LOCAL_L4.SNOOP_NON_DRAM	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x2000408000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L4_HIT_LOCAL_L4.SNOOP_HITM	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x1000408000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L4_HIT_LOCAL_L4.SNOOP_HIT_NO_FWD	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0400408000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L4_HIT_LOCAL_L4.SNOOP_MISS	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0200408000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L4_HIT_LOCAL_L4.SNOOP_NOT_NEEDED	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0100408000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L4_HIT_LOCAL_L4.SNOOP_NONE	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0080408000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L4_HIT_LOCAL_L4.SPL_HIT	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x0040408000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_HIT.ANY_SNOOP	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x3FC01C8000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_HIT.SNOOP_NON_DRAM	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x20001C8000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_HIT.SNOOP_HITM	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x10001C8000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_HIT.SNOOP_HIT_NO_FWD	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x04001C8000	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.OTHER.L3_HIT.SNOOP_MISS	Counts any other requests 	0,1,2,3	0,1,2,3	100003	0x1a6, 0x1a7	0x02001C8000	0	0	0	0	0	0	0	0	null	0
