# Performance Monitoring Events for Intel Atom Processors Based on the Tremont Microarchitecture - V1.00
# 4/5/2019 5:20:57 PM
# Copyright (c) 2007 - 2017 Intel Corporation. All rights reserved.
Unit	EventCode	UMask	PortMask	FCMask	UMaskExt	EventName	Description	Counter	MSRValue	ELLC	Filter	Internal	Deprecated	FILTER_VALUE
CHA	0x00	0x00	0x00	0x00	0x00	UNC_CHA_CLOCKTICKS	Clockticks of the uncore caching and home agent (CHA)	0,1,2,3	0x00	0	na	0	0	0
IIO	0x01	0x00	0x00	0x00	0x00	UNC_IIO_CLOCKTICKS	Clockticks of the integrated IO (IIO) traffic controller	0,1,2,3	0x00	0	na	0	0	0
IRP	0x01	0x00	0x00	0x00	0x00	UNC_I_CLOCKTICKS	Clockticks of the IO coherency tracker (IRP)	0,1	0x00	0	na	0	0	0
iMC	0x04	0x0f	0x00	0x00	0x00	UNC_M_CAS_COUNT.RD	All DRAM read CAS commands issued (including underfills)	0,1,2,3	0x00	0	na	0	0	0
iMC	0x04	0x30	0x00	0x00	0x00	UNC_M_CAS_COUNT.WR	All DRAM write CAS commands issued	0,1,2,3	0x00	0	na	0	0	0
iMC	0x00	0x00	0x00	0x00	0x00	UNC_M_CLOCKTICKS	Clockticks of the integrated memory controller (IMC)	0,1,2,3	0x00	0	na	0	0	0
M2M	0x00	0x00	0x00	0x00	0x00	UNC_M2M_CLOCKTICKS	Clockticks of the mesh to memory (M2M)	0,1,2,3	0x00	0	na	0	0	0
M2PCIe	0x01	0x00	0x00	0x00	0x00	UNC_M2P_CLOCKTICKS	Clockticks of the mesh to PCI (M2P)	0,1,2,3	0x00	0	na	0	0	0
UBOX	0x00	0x01	0x00	0x00	0x00	UNC_U_CLOCKTICKS	Clockticks in the UBOX using a dedicated 48-bit Fixed Counter	FIXED	0x00	0	na	0	0	0
PCU	0x00	0x00	0x00	0x00	0x00	UNC_P_CLOCKTICKS	Clockticks of the power control unit (PCU)	0,1,2,3	0x00	0	na	0	0	0
